ZCTA,FIPS,STATE_ABBR,STATE_NAME,Region
02920,44,RI,Rhode Island,Northeast
02921,44,RI,Rhode Island,Northeast
03031,33,NH,New Hampshire,Northeast
03032,33,NH,New Hampshire,Northeast
03033,33,NH,New Hampshire,Northeast
03034,33,NH,New Hampshire,Northeast
03036,33,NH,New Hampshire,Northeast
03037,33,NH,New Hampshire,Northeast
03038,33,NH,New Hampshire,Northeast
03042,33,NH,New Hampshire,Northeast
03043,33,NH,New Hampshire,Northeast
03044,33,NH,New Hampshire,Northeast
03045,33,NH,New Hampshire,Northeast
03046,33,NH,New Hampshire,Northeast
03047,33,NH,New Hampshire,Northeast
03048,33,NH,New Hampshire,Northeast
03049,33,NH,New Hampshire,Northeast
03051,33,NH,New Hampshire,Northeast
03052,33,NH,New Hampshire,Northeast
03053,33,NH,New Hampshire,Northeast
03054,33,NH,New Hampshire,Northeast
03055,33,NH,New Hampshire,Northeast
03057,33,NH,New Hampshire,Northeast
03060,33,NH,New Hampshire,Northeast
03062,33,NH,New Hampshire,Northeast
03063,33,NH,New Hampshire,Northeast
03064,33,NH,New Hampshire,Northeast
03070,33,NH,New Hampshire,Northeast
03071,33,NH,New Hampshire,Northeast
03076,33,NH,New Hampshire,Northeast
03077,33,NH,New Hampshire,Northeast
03079,33,NH,New Hampshire,Northeast
03082,33,NH,New Hampshire,Northeast
03084,33,NH,New Hampshire,Northeast
03086,33,NH,New Hampshire,Northeast
03087,33,NH,New Hampshire,Northeast
03101,33,NH,New Hampshire,Northeast
03102,33,NH,New Hampshire,Northeast
03103,33,NH,New Hampshire,Northeast
03104,33,NH,New Hampshire,Northeast
03106,33,NH,New Hampshire,Northeast
03109,33,NH,New Hampshire,Northeast
03110,33,NH,New Hampshire,Northeast
03215,33,NH,New Hampshire,Northeast
03216,33,NH,New Hampshire,Northeast
03217,33,NH,New Hampshire,Northeast
03218,33,NH,New Hampshire,Northeast
03220,33,NH,New Hampshire,Northeast
03221,33,NH,New Hampshire,Northeast
03222,33,NH,New Hampshire,Northeast
03223,33,NH,New Hampshire,Northeast
03224,33,NH,New Hampshire,Northeast
03225,33,NH,New Hampshire,Northeast
03226,33,NH,New Hampshire,Northeast
03227,33,NH,New Hampshire,Northeast
03229,33,NH,New Hampshire,Northeast
03230,33,NH,New Hampshire,Northeast
03231,33,NH,New Hampshire,Northeast
03233,33,NH,New Hampshire,Northeast
03234,33,NH,New Hampshire,Northeast
03235,33,NH,New Hampshire,Northeast
03237,33,NH,New Hampshire,Northeast
03238,33,NH,New Hampshire,Northeast
03240,33,NH,New Hampshire,Northeast
03241,33,NH,New Hampshire,Northeast
03242,33,NH,New Hampshire,Northeast
03243,33,NH,New Hampshire,Northeast
03244,33,NH,New Hampshire,Northeast
03245,33,NH,New Hampshire,Northeast
03246,33,NH,New Hampshire,Northeast
03249,33,NH,New Hampshire,Northeast
03251,33,NH,New Hampshire,Northeast
03253,33,NH,New Hampshire,Northeast
03254,33,NH,New Hampshire,Northeast
03255,33,NH,New Hampshire,Northeast
03256,33,NH,New Hampshire,Northeast
03257,33,NH,New Hampshire,Northeast
03258,33,NH,New Hampshire,Northeast
03259,33,NH,New Hampshire,Northeast
03260,33,NH,New Hampshire,Northeast
